milb_id,mlb_id,mlb,war,draft,bats,throws,height,weight,positions,designated,first,second,third,shortstop,catcher,outfielder
slemp001hou,none,0,nan,10.0,left,right,73.0,200.0,Outfielder,0,0,0,0,0,0,1
vazque002car,none,0,nan,12.0,right,right,75.0,190.0,First Baseman and Catcher,0,1,0,0,0,1,0
gil001rot,none,0,nan,nan,both,right,70.0,207.0,Catcher,0,0,0,0,0,1,0
tejeda001and,none,0,nan,nan,left,right,71.0,185.0,Shortstop and Second Baseman,0,0,1,0,1,0,0
kochen001rya,none,0,nan,19.0,right,right,74.0,195.0,"Third Baseman, Outfielder and Shortstop",0,0,0,1,1,0,1
jose002dom,none,0,nan,24.0,left,right,74.0,180.0,Outfielder,0,0,0,0,0,0,1
aguila001roi,none,0,nan,18.0,right,right,70.0,175.0,Catcher,0,0,0,0,0,1,0
dozier000hun,doziehu01,1,0.0,1.0,right,right,76.0,220.0,Third Baseman and Outfielder,0,0,0,1,0,0,1
tubbs000tuc,none,0,nan,9.0,right,right,75.0,212.0,First Baseman and Designated Hitter,1,1,0,0,0,0,0
burges001jar,none,0,nan,6.0,right,right,74.0,195.0,Centerfielder,0,0,0,0,0,0,0
mulveh001bra,none,0,nan,23.0,right,right,74.0,200.0,Outfielder,0,0,0,0,0,0,1
willia002chr,none,0,nan,34.0,left,left,77.0,225.0,Outfielder and First Baseman,0,1,0,0,0,0,1
crook000nar,none,0,nan,23.0,right,right,75.0,220.0,Outfielder,0,0,0,0,0,0,1
valdez002fra,none,0,nan,nan,right,right,73.0,180.0,Third Baseman and Shortstop,0,0,0,1,1,0,0
gumpf001joh,none,0,nan,2.0,right,right,74.0,200.0,Outfielder,0,0,0,0,0,0,1
blanco001hen,blanche01,1,-0.1,nan,right,right,71.0,220.0,Catcher and Third Baseman,0,0,0,1,0,1,0
willia005edw,willied01,1,-1.1,1.0,right,right,72.0,175.0,Third Baseman and First Baseman,0,1,0,1,0,0,0
vega000ant,none,0,nan,30.0,left,right,72.0,195.0,Outfielder,0,0,0,0,0,0,1
jernig000and,none,0,nan,14.0,right,right,72.0,205.0,"Second Baseman, Third Baseman and Shortstop",0,0,1,1,1,0,0
stutz002joh,none,0,nan,29.0,right,right,76.0,205.0,"First Baseman, Outfielder and Third Baseman",0,1,0,1,0,0,1
gambin001mic,none,0,nan,nan,right,right,69.0,175.0,Second Baseman and Shortstop,0,0,1,0,1,0,0
cuneo001rya,none,0,nan,20.0,left,right,75.0,200.0,"First Baseman, Leftfielder and Third Baseman",0,1,0,1,0,0,0
quinon002car,none,0,nan,nan,both,right,74.0,170.0,Outfielder,0,0,0,0,0,0,1
brizue000jos,none,0,nan,16.0,left,right,72.0,180.0,Third Baseman,0,0,0,1,0,0,0
monzon001eri,none,0,nan,29.0,right,right,72.0,190.0,"Shortstop, Third Baseman and Second Baseman",0,0,1,1,1,0,0
fiedle000mat,none,0,nan,9.0,right,right,70.0,195.0,Outfielder and Designated Hitter,1,0,0,0,0,0,1
perkin001cam,perkica01,1,-0.5,6.0,right,right,77.0,195.0,Outfielder and First Baseman,0,1,0,0,0,0,1
marrer002chr,marrech01,1,-1.5,1.0,right,right,75.0,229.0,First Baseman and Outfielder,0,1,0,0,0,0,1
sandov000ari,none,0,nan,nan,right,right,74.0,180.0,Outfielder and Designated Hitter,1,0,0,0,0,0,1
norton001ric,none,0,nan,18.0,left,right,73.0,195.0,"Catcher, Third Baseman and First Baseman",0,1,0,1,0,1,0
hernan001and,hernaan01,1,-0.1,nan,both,right,69.0,190.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
reinos001nat,none,0,nan,nan,left,left,72.0,192.0,Outfielder and First Baseman,0,1,0,0,0,0,1
rivas001nor,none,0,nan,nan,right,right,70.0,170.0,Outfielder,0,0,0,0,0,0,1
houk001w,none,0,nan,27.0,right,right,72.0,165.0,"Second Baseman, Third Baseman and First Baseman",0,1,1,1,0,0,0
molito002pau,molitpa01,1,75.4,1.0,right,right,72.0,185.0,"Third Baseman, Second Baseman and First Baseman",0,1,1,1,0,0,0
brewer002bre,none,0,nan,14.0,right,right,74.0,185.0,Outfielder,0,0,0,0,0,0,1
johnso003rya,none,0,nan,13.0,left,left,74.0,205.0,Outfielder,0,0,0,0,0,0,1
adams003bri,none,0,nan,8.0,right,right,76.0,215.0,Outfielder,0,0,0,0,0,0,1
batts001rod,none,0,nan,22.0,right,right,70.0,170.0,"Second Baseman, Third Baseman and Outfielder",0,0,1,1,0,0,1
califa000fra,none,0,nan,19.0,left,left,71.0,185.0,Outfielder,0,0,0,0,0,0,1
slaugh001don,slaugdo01,1,19.4,7.0,right,right,73.0,190.0,Catcher,0,0,0,0,0,1,0
johnso027wil,johnsru01,1,2.7,1.0,right,right,70.0,185.0,"Third Baseman, Shortstop and Second Baseman",0,0,1,1,1,0,0
ruiz001yei,none,0,nan,nan,both,right,72.0,155.0,"Second Baseman, Outfielder and Shortstop",0,0,1,0,1,0,1
hoorel001jes,none,0,nan,nan,right,right,74.0,263.0,First Baseman,0,1,0,0,0,0,0
janish001pau,janispa01,1,-0.4,5.0,right,right,74.0,200.0,"Shortstop, Third Baseman and Second Baseman",0,0,1,1,1,0,0
diaz001fel,none,0,nan,nan,both,right,74.0,200.0,Third Baseman and Outfielder,0,0,0,1,0,0,1
marsha001mon,none,0,nan,26.0,both,right,67.0,155.0,Second Baseman,0,0,1,0,0,0,0
allegr001mat,none,0,nan,16.0,right,right,75.0,214.0,Outfielder and First Baseman,0,1,0,0,0,0,1
mota001cri,none,0,nan,nan,both,right,71.0,165.0,"Third Baseman, Second Baseman and Shortstop",0,0,1,1,1,0,0
wittig001pau,none,0,nan,21.0,right,right,73.0,190.0,Catcher,0,0,0,0,0,1,0
bishop002bra,none,0,nan,3.0,right,right,73.0,190.0,Outfielder,0,0,0,0,0,0,1
bautis000cla,none,0,nan,nan,right,right,71.0,170.0,Second Baseman and Third Baseman,0,0,1,1,0,0,0
klee001cha,none,0,nan,10.0,right,right,75.0,175.0,"Shortstop, Third Baseman and Second Baseman",0,0,1,1,1,0,0
orland001nic,none,0,nan,nan,right,right,72.0,180.0,"Second Baseman, Outfielder and Third Baseman",0,0,1,1,0,0,1
jankow000tra,jankotr01,1,1.0,1.0,left,right,74.0,185.0,Centerfielder,0,0,0,0,0,0,0
torres001ram,none,0,nan,nan,left,left,70.0,170.0,Outfielder,0,0,0,0,0,0,1
reboul001jef,rebouje01,1,10.2,10.0,right,right,72.0,167.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
stahel000bob,none,0,nan,20.0,right,right,70.0,200.0,Outfielder,0,0,0,0,0,0,1
centen001irw,none,0,nan,nan,right,right,74.0,176.0,Outfielder and Second Baseman,0,0,1,0,0,0,1
keller001gar,none,0,nan,18.0,right,right,70.0,170.0,"Outfielder, Second Baseman and Third Baseman",0,0,1,1,0,0,1
willia007mar,none,0,nan,36.0,right,right,69.0,185.0,Outfielder,0,0,0,0,0,0,1
castil000kei,none,0,nan,nan,both,right,76.0,215.0,Catcher,0,0,0,0,0,1,0
roof001eri,none,0,nan,18.0,left,right,75.0,185.0,Catcher,0,0,0,0,0,1,0
mahin001nic,none,0,nan,16.0,right,right,74.0,230.0,"First Baseman, Outfielder and Third Baseman",0,1,0,1,0,0,1
bencsk001jus,none,0,nan,20.0,left,left,73.0,185.0,Outfielder,0,0,0,0,0,0,1
richar001dvo,none,0,nan,5.0,right,right,73.0,200.0,Outfielder,0,0,0,0,0,0,1
coghla001chr,coghlch01,1,-0.1,1.0,left,right,72.0,195.0,"Outfielder, Second Baseman and Third Baseman",0,0,1,1,0,0,1
pini001rya,none,0,nan,6.0,left,left,75.0,215.0,Outfielder and First Baseman,0,1,0,0,0,0,1
vicios001dan,none,0,nan,nan,right,right,72.0,190.0,Catcher and First Baseman,0,1,0,0,0,1,0
covarr001nic,none,0,nan,13.0,right,right,74.0,205.0,Third Baseman and Outfielder,0,0,0,1,0,0,1
lozins001ant,none,0,nan,9.0,right,right,74.0,190.0,Catcher,0,0,0,0,0,1,0
peters002bri,none,0,nan,nan,right,right,74.0,225.0,Catcher,0,0,0,0,0,1,0
cadena001ale,none,0,nan,45.0,right,right,71.0,205.0,First Baseman and Catcher,0,1,0,0,0,1,0
york000tre,none,0,nan,9.0,right,right,74.0,190.0,Second Baseman and Designated Hitter,1,0,1,0,0,0,0
ambres001ray,ambrech01,1,0.0,1.0,right,right,73.0,190.0,Outfielder,0,0,0,0,0,0,1
suero001ign,none,0,nan,nan,right,right,71.0,220.0,Catcher,0,0,0,0,0,1,0
luis001mar,none,0,nan,nan,right,right,71.0,180.0,"Second Baseman, Third Baseman and First Baseman",0,1,1,1,0,0,0
weston001gor,none,0,nan,3.0,left,left,77.0,173.0,Outfielder,0,0,0,0,0,0,1
akers001cha,none,0,nan,34.0,right,right,68.0,170.0,"Shortstop, Second Baseman and Outfielder",0,0,1,0,1,0,1
